Nome   ;sample name  ;Substance;tested date;published date ;location;
3253;Blue Butterfly;MDMA/Caffeine;Aug 17, 2014  ;Aug 17, 2014;Orange County, CA;
3255;ALP Cialis;Tadalafil;Aug 24, 2014;Aug 24, 2014;Miami, FL;
3259;White Tablet;Palmitic Acid/Stearic Acid;Aug 24, 2014;Aug 24, 2014;New York, NY;
3262;Pink Monster;Ketamine/Caffeine/MDMA;Sep 09, 2014;Sep 09, 2014;Las Vegas, NV;
3263;White Tablet 477;Metoprolol;Sep 09, 2014;Sep 09, 2014;Satellite Beach, FL;
3264;Pink Grenade;MDMA;Sep 09, 2014;Sep 09, 2014;Falon, Sweden;
3266;Green Flower;MDMA;Sep 09, 2014;Sep 09, 2014;Los Angeles, CA;
3269;White Star;MDMA;Sep 09, 2014;Sep 09, 2014;Sacramento, CA;
3272;AD 30 Ecstasy;Phentermine/Caffeine/Methamphetamine;Sep 10, 2014;Sep 10, 2014;Corpus Christi, TX;
3275;MOB Tablet;TFMPP;Sep 10, 2014;Sep 10, 2014;Dublin, Ireland;
3278;Green Clamshell;TFMPP/BZP/4-FA/Benocyclidine/Caffeine;Sep 10, 2014;Sep 10, 2014;Dallas, TX;
3282;Yellow Grenade;MDMA;Sep 10, 2014;Sep 10, 2014;Atlanta, GA;
3283;Alprazolam;Alprazolam;Sep 28, 2014;Sep 28, 2014;Phillipines;
3288;White Dollar;MDMA;Sep 28, 2014;Sep 28, 2014;Leeds, England, United Kingdom;
3289;ALP;Oxandrolone;Sep 28, 2014;Sep 28, 2014;Online;
3291;WB Warner Brothers; MDMA;Sep 28, 2014;Sep 28, 2014;Los Angeles, CA;
3292;Blue Bugatti;MDMA;Sep 28, 2014;Sep 28, 2014;Los Angeles, CA;
3295;Red Monkey;MDMA/Caffeine;Sep 28, 2014;Sep 28, 2014;Phoenix, AZ;
3299;Blue Warner Brothers;MDMA;Oct 13, 2014;Oct 13, 2014;Las Vegas, NV;
3300;3300  Purple Crown;MDMA/Caffeine;Oct 13, 2014;Oct 13, 2014;Las Vegas, NV;
3303;White Domino;MDMA;Oct 13, 2014;Oct 13, 2014;Los Angeles, CA;
3304;Purple Battery;MDMA;Oct 13, 2014;Oct 13, 2014;Los Angeles, CA;
3307;Blue Bugatti;MDMA;Oct 13, 2014;Oct 13, 2014;San Francisco, CA;
3310;Xanax Bar;Alprazolam;Oct 13, 2014;Oct 13, 2014;Dallas, TX;
3312;Blue Star;Methamphetamine/Acetaminophen/MDMA;Oct 13, 2014;Oct 13, 2014;Boston, MA;
3316;Pink Superman;MDMA;Oct 14, 2014;Oct 14, 2014;Palm Springs, CA;
3326;Blue Ghost;MDMA;Oct 21, 2014;Oct 21, 2014;Online;
3327;White Dragon;Nimesulide;Oct 21, 2014;Oct 21, 2014;Miami, FL;
3328;Ritalin CIBA AB;Methylphenidate;Oct 21, 2014;Oct 21, 2014;AR;
3330;Lightning Bolt;MDA/Caffeine;Oct 21, 2014;Oct 21, 2014;Los Angeles, CA;
3336;Blue Superman;MDMA/Caffeine;Oct 28, 2014  ;Oct 28, 2014;Arcadia, CA;
3337;Purple Voacanga;5-MeO-DALT/Ethylphenidate/Methiopropamine;Oct 28, 2014;Oct 28, 2014;San Francisco, CA;
3338;Green Oxycontin;Etoricoxib;Oct 28, 2014;Oct 28, 2014;Online;
3343;Dark Star;MDPBP;Nov 03, 2014;Nov 03, 2014;Phoenix, AZ;
3344;Roxicodone;Oxycodone;Nov 03, 2014;Nov 03, 2014;San Diego, CA;
3349;Tan Rolex;MDA/Caffeine;Nov 03, 2014;Nov 03, 2014;Seattle, WA;
3360;Red Smiley Face;MDA;Nov 30, 2014;Nov 30, 2014;New York, NY;
3362;Louis Vuitton;MDA/Caffeine;Nov 30, 2014;Nov 30, 2014;Seattle, WA;
3363;Codeine Caplet;Acetaminophen/Chlorzoxazone;Nov 30, 2014;Nov 30, 2014;Santa Monica, CA, India;
3371;Blue Armani Exchange;MDA/Caffeine;Nov 30, 2014;Nov 30, 2014;New York, NY;
3372;Cenforce-25;Palmitic Acid/Stearic Acid/Phthalates/Sildenafil;Nov 30, 2014;Nov 30, 2014;Online;
3373;Nizagara;Stearic Acid/Diclofenac/Palmitic Acid/Sildenafil/Acetaminophen;Nov 30, 2014;Nov 30, 2014;Online, CA;
3386;Pink Inc;Alprazolam;Dec 07, 2014;Dec 07, 2014;Fort Walton, FL;
3387;Lil Green Pill;Alprazolam;Dec 07, 2014;Dec 07, 2014;Fort Walton, FL;
3388;Big Blue Mix;Alprazolam;Dec 07, 2014;Dec 07, 2014;Fort Walton, FL;
3389;ALP Dianabol;Methandrostenolone;Dec 07, 2014;Dec 07, 2014;Miami, FL;
3390;ALP Anadrol;Oxymetholone;Dec 07, 2014;Dec 07, 2014;Miami, FL;
3391;Lets Fuck;MDMA;Dec 15, 2014;Dec 15, 2014;Tampere, Finland;
3392;Green Adidas;MDMA/Caffeine;Dec 15, 2014;Dec 15, 2014;Indianapolis, IN;
3393;Blue Tablet A;Acetaminophen;Dec 16, 2014;Dec 16, 2014;Santa Rosa, CA;
3395;Pink Playboy Bunny;MDMA;Dec 16, 2015;Dec 16, 2015;Huntington Beach, FL;
3398;Green Facebook;MDMA;Dec 16, 2014;Dec 16, 2014;New York, NY;
3405;Blue Bitcoin;MDMA/Caffeine;Dec 23, 2014;Dec 23, 2014;San Francisco, CA;
3406;Yellow Rolex;MDA;Dec 23, 2014;Dec 23, 2014;Seattle, WA;
3408;Blue One;Methamphetamine;Dec 23, 2014;Dec 23, 2014;Philadelphia, PA;
3411;Apple;2C-B;Dec 24, 2014;Dec 24, 2014;Mexico City, Mexico;
3412;Molly 10;Atropine;Dec 28, 2014;Dec 31, 2014;Philadelphia, PA;
3418;Blue Pacman Ghost;5- or 6-MAPB/5-EAPB;Jan 08, 2015;Jan 08, 2015;Miami, FL;
3419;Norco;Acetaminophen;Jan 08, 2015;Jan 08, 2015;Ghaziabad, India;
3423;Pacman;MDA;Jan 08, 2015;Jan 08, 2015;New Jersey;
3427;MDA Pacman;MDA;Jan 12, 2015;Jan 12, 2015;New York, NY;
3428;MDA Pacman;MDA;Jan 12, 2015;Jan 12, 2015;New York, NY;
3431;Unknown Tablet;Methylone/alpha-PVP;Jan 12, 2015;Jan 12, 2015;Wellington, New Zealand;
3436;Rohypnol 615;Flunitrazepam;Jan 12, 2015;Jan 12, 2015;Online, Germany;
3437;Summer Strawberry;MDMA;Jan 12, 2015;Jan 12, 2015;Boston, MA;
3438;Yellow Superman;MDMA;Jan 12, 2015;Jan 12, 2015;Minneapolis, MN;
3442;Green Armani Exchange;MDA/Caffeine;Feb 09, 2015;Feb 09, 2015;Playa Del Camen, Quintana Roo, Mexico;
3443;Purple Chanel;MDMA/Methylsulfonylmethane;Feb 09, 2015;Feb 09, 2015;San Francisco, CA;
3444;Lightning Bolt;Caffeine/MDA;Feb 09, 2015;Feb 09, 2015;Altoona, PA;
3445;Purple X;Acetaminophen/Oxycodone;Feb 09, 2015;Feb 09, 2015;San Francisco, CA;
3449;Watson 853;Tramadol/Acetaminophen;Feb 09, 2015;Feb 09, 2015;Lemon Grove, CA;
3455;Blue Ghost;MDMA;Feb 09, 2015;Feb 09, 2015;Los Angeles, CA;
3461;Super Powerpill;MDMA;Feb 09, 2015;Feb 09, 2015;Online;
3462;Blue Monster;MDMA;Feb 09, 2015;Feb 09, 2015;Honolulu, HI;
3468;Xanax Tablet;None Detected;Feb 09, 2015;Feb 09, 2015;Online;
3469;Ecstasy Tablet;Oxandrolone;Feb 09, 2015;Feb 09, 2015;Online, MA;
3470;Lisinopril 40;Mannitol/Stearic Acid/Palmitic Acid;Feb 10, 2015;Feb 10, 2015;Port Orange, FL;
3471;Adderall 30;Caffeine/Phentermine/Methamphetamine;Feb 10, 2015;Feb 10, 2015;Philadelphia, PA;
3476;ETH Tablet;Fentanyl;Feb 21, 2015;Feb 21, 2015;San Jose, CA;
3477;A 215;Oxycodone;Feb 21, 2015;Feb 21, 2015;Chula Vista, CA;
3478;Watson 932;Methadone;Feb 21, 2015;Feb 21, 2015;Chula Vista, CA;
3480;PInk Lady;Methamphetamine;Feb 21, 2015;Feb 21, 2015;Boise, ID;
3489;Orange Tramadol;Tramadol;Feb 28, 2015;Feb 28, 2015;Online, MO;
3493;Unknown Tivo;None Detected;Feb 28, 2015;Feb 28, 2015;Magnolia, TX;
3495;Yellow Superman;Caffeine/Benocyclidine;Feb 28, 2015;Feb 28, 2015;Boynton Beach, FL;
3496;Red Monkey;Caffeine/Benocyclidine;Feb 28, 2015;Feb 28, 2015;Boynton Beach, FL;
3500;Adderall 30;Caffeine/Phentermine/Methamphetamine;Mar 03, 2015;Mar 03, 2015;Online, CA;
